[Header]	
System	TOCV-TNM	
S/W Version	1.00	
User		
Date/Time	9/2/2025 9:59:05 AM	

[Data]	
Type	Anal.	Sample Name	Sample ID	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	
Unknown	TOC	Flush 1	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.cal	1.00		8/29/2025 1:32:42 PM	1	1	TC	0.000	0.3797	0.000	0.000	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	0.1594	41.98	0.000	0.00	1	1	50	
Unknown	TOC	Flush 1	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.cal	1.00		8/29/2025 1:35:23 PM	1	2	TC	0.2670	0.3797	0.000	0.000	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	0.1594	41.98	0.000	0.00	1	0	50	
Unknown	TOC	Flush 1	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.cal	1.00		8/29/2025 1:38:00 PM	1	3	TC	0.4924	0.3797	0.000	0.000	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	0.1594	41.98	0.000	0.00	1	0	50	
Unknown	TOC	Flush 1	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.cal	1.00		8/29/2025 1:40:31 PM	1	1	IC	0.000	0.000	0.000	0.000	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	0.000	0.00	0.000	0.00	1	0	50	
Unknown	TOC	Flush 1	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.cal	1.00		8/29/2025 1:42:43 PM	1	2	IC	0.000	0.000	0.000	0.000	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	TOC:0.000mg/L TC:0.000mg/L IC:0.000mg/L	0.000	0.00	0.000	0.00	1	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 1:51:22 PM	1	1	TC	23.87	25.46	5.000	 	 	 	0.1131	0.44	0.000	0.00	2	1	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 1:54:29 PM	1	2	TC	25.54	25.46	5.000	 	 	 	0.1131	0.44	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 1:57:31 PM	1	3	TC	25.38	25.46	5.000	 	 	 	0.1131	0.44	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 2:04:20 PM	2	1	TC	49.03	49.36	10.00	 	 	 	0.4596	0.93	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 2:07:33 PM	2	2	TC	49.68	49.36	10.00	 	 	 	0.4596	0.93	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 2:14:15 PM	3	1	TC	254.2	255.4	50.00	 	 	 	1.697	0.66	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 2:17:22 PM	3	2	TC	256.6	255.4	50.00	 	 	 	1.697	0.66	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 2:21:34 PM	4	1	TC	505.9	504.7	100.0	 	 	 	1.697	0.34	0.000	0.00	2	0	50	
Standard	TC	TC Cal	Untitled		1.00		8/29/2025 2:24:51 PM	4	2	TC	503.5	504.7	100.0	 	 	 	1.697	0.34	0.000	0.00	2	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 2:32:01 PM	1	1	IC	24.70	24.89	5.000	 	 	 	0.2616	1.05	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 2:36:23 PM	1	2	IC	25.07	24.89	5.000	 	 	 	0.2616	1.05	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 2:43:02 PM	2	1	IC	48.20	48.66	10.00	 	 	 	0.6435	1.32	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 2:46:02 PM	2	2	IC	49.11	48.66	10.00	 	 	 	0.6435	1.32	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 2:52:40 PM	3	1	IC	253.7	255.9	50.00	 	 	 	3.111	1.22	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 2:55:41 PM	3	2	IC	258.1	255.9	50.00	 	 	 	3.111	1.22	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 3:01:03 PM	4	1	IC	512.9	509.1	100.0	 	 	 	5.303	1.04	0.000	0.00	3	0	50	
Standard	IC	IC Cal	Untitled		1.00		8/29/2025 3:03:39 PM	4	2	IC	505.4	509.1	100.0	 	 	 	5.303	1.04	0.000	0.00	3	0	50	
Unknown	TOC	Flush 2	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:09:30 PM	1	1	TC	3.602	0.9682	0.7124	0.1915	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	0.09023	9.32	0.01784	9.32	1	1	50	
Unknown	TOC	Flush 2	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:11:46 PM	1	2	TC	0.9044	0.9682	0.1789	0.1915	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	0.09023	9.32	0.01784	9.32	1	0	50	
Unknown	TOC	Flush 2	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:14:02 PM	1	3	TC	1.032	0.9682	0.2041	0.1915	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	0.09023	9.32	0.01784	9.32	1	0	50	
Unknown	TOC	Flush 2	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:16:33 PM	1	1	IC	2.926	0.9640	0.5727	0.1887	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	0.1626	16.87	0.03183	16.87	1	1	50	
Unknown	TOC	Flush 2	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:18:44 PM	1	2	IC	1.079	0.9640	0.2112	0.1887	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	0.1626	16.87	0.03183	16.87	1	0	50	
Unknown	TOC	Flush 2	Untitled	C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:20:54 PM	1	3	IC	0.8490	0.9640	0.1662	0.1887	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	TOC:0.00281mg/L TC:0.1915mg/L IC:0.1887mg/L	0.1626	16.87	0.03183	16.87	1	0	50	
Unknown	TOC	082925_B177		C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:26:57 PM	1	1	TC	522.0	515.2	103.2	101.9	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	9.617	1.87	1.902	1.87	4	0	50	
Unknown	TOC	082925_B177		C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:30:13 PM	1	2	TC	508.4	515.2	100.6	101.9	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	9.617	1.87	1.902	1.87	4	0	50	
Unknown	TOC	082925_B177		C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:33:08 PM	1	1	IC	297.2	298.1	58.17	58.36	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	1.344	0.45	0.2630	0.45	4	0	50	
Unknown	TOC	082925_B177		C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:35:44 PM	1	2	IC	299.1	298.1	58.54	58.36	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	TOC:43.54mg/L TC:101.9mg/L IC:58.36mg/L	1.344	0.45	0.2630	0.45	4	0	50	
Unknown	TOC	082925_B178		C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:41:41 PM	1	1	TC	394.0	389.5	77.92	77.03	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	6.364	1.63	1.259	1.63	5	0	50	
Unknown	TOC	082925_B178		C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:44:50 PM	1	2	TC	385.0	389.5	76.14	77.03	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	6.364	1.63	1.259	1.63	5	0	50	
Unknown	TOC	082925_B178		C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:47:43 PM	1	1	IC	233.6	235.7	45.72	46.12	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	2.899	1.23	0.5674	1.23	5	0	50	
Unknown	TOC	082925_B178		C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 3:50:14 PM	1	2	IC	237.7	235.7	46.52	46.12	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	TOC:30.91mg/L TC:77.03mg/L IC:46.12mg/L	2.899	1.23	0.5674	1.23	5	0	50	
Unknown	TOC	082925_B179		C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:56:14 PM	1	1	TC	504.2	505.2	99.72	99.92	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	1.414	0.28	0.2797	0.28	6	0	50	
Unknown	TOC	082925_B179		C:\TOC-L\CalCurves\Caitlin Webster\082925_TC_100ppm.2025_08_29_13_42_43.cal	1.00		8/29/2025 3:59:30 PM	1	2	TC	506.2	505.2	100.1	99.92	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	1.414	0.28	0.2797	0.28	6	0	50	
Unknown	TOC	082925_B179		C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 4:02:23 PM	1	1	IC	305.3	306.0	59.75	59.89	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	0.9899	0.32	0.1938	0.32	6	0	50	
Unknown	TOC	082925_B179		C:\TOC-L\CalCurves\Caitlin Webster\082925_IC_100ppm.2025_08_29_14_24_51.cal	1.00		8/29/2025 4:04:56 PM	1	2	IC	306.7	306.0	60.03	59.89	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	TOC:40.03mg/L TC:99.92mg/L IC:59.89mg/L	0.9899	0.32	0.1938	0.32	6	0	50	
